buy_price,amount,timestamp
85825.69,0.00554,2025-03-08 11:00:00
85839.6,0.00526,2025-03-08 11:00:00
84309.53,0.00484,2025-03-09 12:00:00
84731.57,0.00457,2025-03-09 12:00:00
84510.98,0.00436,2025-03-09 13:00:00
84288.0,0.00415,2025-03-09 13:00:00
83509.1,0.00398,2025-03-09 16:00:00
82428.03,0.00383,2025-03-09 18:00:00
82722.8,0.00362,2025-03-09 18:00:00
82510.47,0.00345,2025-03-09 19:00:00
82604.79,0.00328,2025-03-09 19:00:00
82997.48,0.0031,2025-03-09 20:00:00
83059.23,0.00294,2025-03-09 20:00:00
82162.01,0.00282,2025-03-09 21:00:00
81950.12,0.00269,2025-03-09 22:00:00
81735.48,0.0022,2025-03-10 01:00:00
81926.47,0.00188,2025-03-10 03:00:00
82248.0,0.00178,2025-03-10 03:00:00
82046.62,0.00235,2025-03-13 14:00:00
81986.16,0.00223,2025-03-13 14:00:00
82886.79,0.00259,2025-03-16 13:00:00
82570.93,0.00247,2025-03-16 13:00:00
82878.67,0.00234,2025-03-16 14:00:00
83090.91,0.00222,2025-03-16 15:00:00
85709.36,0.00204,2025-03-28 07:00:00
85713.0,0.00194,2025-03-28 07:00:00
85693.99,0.00184,2025-03-28 07:00:00
85749.99,0.00175,2025-03-28 07:00:00
85789.99,0.00166,2025-03-28 07:00:00
85809.38,0.00158,2025-03-28 07:00:00
85788.12,0.0015,2025-03-28 07:00:00
85779.62,0.00142,2025-03-28 07:00:00
85812.47,0.00135,2025-03-28 07:00:00
85839.76,0.00128,2025-03-28 07:00:00
85842.53,0.00122,2025-03-28 07:00:00
85747.61,0.00116,2025-03-28 07:00:00
85712.8,0.0011,2025-03-28 07:00:00
85701.96,0.00105,2025-03-28 07:00:00
85709.81,0.001,2025-03-28 07:00:00
85754.31,0.00095,2025-03-28 07:00:00
85760.01,0.0009,2025-03-28 07:00:00
85812.76,0.00085,2025-03-28 07:00:00
85814.0,0.00081,2025-03-28 07:00:00
85756.17,0.00077,2025-03-28 07:00:00
85773.13,0.00073,2025-03-28 07:00:00
85799.97,0.00069,2025-03-28 07:00:00
85741.23,0.00066,2025-03-28 07:00:00
85731.59,0.00063,2025-03-28 07:00:00
85709.6,0.0006,2025-03-28 07:00:00
85241.71,0.00057,2025-03-28 08:00:00
85247.89,0.00054,2025-03-28 08:00:00
85349.27,0.00051,2025-03-28 08:00:00
85340.02,0.00049,2025-03-28 08:00:00
85411.49,0.00046,2025-03-28 08:00:00
85413.78,0.00044,2025-03-28 08:00:00
85399.6,0.00042,2025-03-28 08:00:00
85419.12,0.0004,2025-03-28 08:00:00
85390.0,0.00038,2025-03-28 08:00:00
85374.29,0.00036,2025-03-28 08:00:00
85370.86,0.00034,2025-03-28 08:00:00
85326.5,0.00032,2025-03-28 08:00:00
85304.59,0.00031,2025-03-28 08:00:00
85355.47,0.00029,2025-03-28 08:00:00
85293.5,0.00028,2025-03-28 08:00:00
85337.0,0.00026,2025-03-28 08:00:00
85253.6,0.00025,2025-03-28 08:00:00
85265.99,0.00024,2025-03-28 08:00:00
85312.92,0.00023,2025-03-28 08:00:00
85326.26,0.00021,2025-03-28 08:00:00
85385.33,0.0002,2025-03-28 08:00:00
85330.2,0.00019,2025-03-28 08:00:00
85287.71,0.00018,2025-03-28 08:00:00
85273.66,0.00018,2025-03-28 08:00:00
85263.73,0.00017,2025-03-28 08:00:00
85251.49,0.00016,2025-03-28 08:00:00
85255.19,0.00015,2025-03-28 08:00:00
85244.08,0.00014,2025-03-28 08:00:00
85234.53,0.00014,2025-03-28 09:00:00
85225.4,0.00013,2025-03-28 09:00:00
85230.71,0.00012,2025-03-28 09:00:00
85237.11,0.00012,2025-03-28 09:00:00
85291.44,0.00011,2025-03-28 09:00:00
85270.03,0.0001,2025-03-28 09:00:00
85320.0,0.0001,2025-03-28 09:00:00
83890.58,0.0001,2025-03-28 17:00:00
75536.03,0.0001,2025-04-06 15:00:00
75775.86,0.0001,2025-04-07 08:00:00
